iter	RMSE
0	9.356120441
1	9.3470737
2	9.317275117
3	9.283593261
4	9.245184907
5	9.224142027
6	9.197492058
7	9.182159199
8	9.163272445
9	9.137534685
10	9.093534693
11	9.073211484
12	9.039368821
13	9.027203288
14	8.998670741
15	8.976822534
16	8.970144434
17	8.964664938
18	8.925113742
19	8.888449918
20	8.850805261
21	8.821597814
22	8.801408707
23	8.793463413
24	8.769268902
25	8.763371272
26	8.719077226
27	8.671997581
28	8.63082077
29	8.590971855
30	8.570564165
31	8.521283179
32	8.504338801
33	8.475646238
34	8.449451547
35	8.424921548
36	8.418280376
37	8.400376678
38	8.371855377
39	8.365498852
40	8.360243912
41	8.324222714
42	8.3129272
43	8.294190962
44	8.257181593
45	8.253990301
46	8.2344547
47	8.225635689
48	8.202058776
49	8.175621835
50	8.167625005
51	8.127137116
52	8.105552569
53	8.072580043
54	8.054290615
55	8.053510767
56	8.049743627
57	8.020906553
58	8.004490714
59	7.994807545
60	7.988057565
61	7.982908994
62	7.964412389
63	7.950185263
64	7.935521733
65	7.914735639
66	7.900647839
67	7.895141712
68	7.870322745
69	7.846436689
70	7.838136356
71	7.825830163
72	7.786200325
73	7.759649584
74	7.739181014
75	7.710467681
76	7.689360127
77	7.652198238
78	7.628927742
79	7.602393922
80	7.579783594
81	7.555633028
82	7.538036816
83	7.523146916
84	7.502375044
85	7.472459095
86	7.455215854
87	7.434995164
88	7.416259946
89	7.394545828
90	7.377034931
91	7.350033144
92	7.328865811
93	7.323184516
94	7.299263762
95	7.265649556
96	7.254582995
97	7.240304391
98	7.237327315
99	7.212194738
100	7.201097124
101	7.179854002
102	7.154297064
103	7.124128382
104	7.109398234
105	7.095564026
106	7.082701674
107	7.070154231
108	7.035617982
109	7.014244554
110	7.01004955
111	6.99814175
112	6.979514582
113	6.971447821
114	6.967568394
115	6.944072027
116	6.941929817
117	6.912504235
118	6.902486247
119	6.868940509
120	6.861175107
121	6.846133495
122	6.820708941
123	6.817387878
124	6.811394834
125	6.806612961
126	6.78607909
127	6.762259539
128	6.756524804
129	6.740367712
130	6.716992774
131	6.715429469
132	6.706948871
133	6.685871931
134	6.672458908
135	6.665476689
136	6.643070051
137	6.639886921
138	6.618150554
139	6.60523731
140	6.600143034
141	6.591165961
142	6.580034411
143	6.577985324
144	6.569560943
145	6.564951823
146	6.545646802
147	6.54256544
148	6.538361439
149	6.528280657
150	6.51405819
151	6.504306225
152	6.491403007
153	6.4775891
154	6.472055725
155	6.464793768
156	6.458439619
157	6.432289453
158	6.405927195
159	6.388075562
160	6.360039852
161	6.34719793
162	6.316432127
163	6.31440788
164	6.302892176
165	6.300807396
166	6.284045079
167	6.275341094
168	6.265626528
169	6.254699079
170	6.234863347
171	6.223872152
172	6.19904485
173	6.19153942
174	6.185330499
175	6.172070254
176	6.149469761
177	6.138011939
178	6.114755447
179	6.094593339
180	6.084441491
181	6.077900616
182	6.06057413
183	6.041599491
184	6.035520037
185	6.029172111
186	6.014939577
187	6.001941832
188	5.989182616
189	5.975163841
190	5.966043667
191	5.95649391
192	5.936814578
193	5.931242712
194	5.914059712
195	5.90094739
196	5.877089827
197	5.866584961
198	5.855854759
199	5.844437737
200	5.82882883
201	5.819827286
202	5.811053335
203	5.803023621
204	5.7887204
205	5.783181568
206	5.769649472
207	5.742233908
208	5.734094213
209	5.714304378
210	5.702590779
211	5.693473803
212	5.674343883
213	5.648272487
214	5.637147984
215	5.620640484
216	5.606234863
217	5.584925131
218	5.575793203
219	5.560657776
220	5.545011212
221	5.532437467
222	5.518975872
223	5.507845427
224	5.482282349
225	5.468179716
226	5.453006241
227	5.436906713
228	5.415269372
229	5.405748605
230	5.387551547
231	5.381196719
232	5.376254909
233	5.368507885
234	5.35087137
235	5.338101065
236	5.320303654
237	5.31643696
238	5.302261668
239	5.294171913
240	5.281339423
241	5.270643231
242	5.264668023
243	5.245433022
244	5.23613693
245	5.226345559
246	5.210650126
247	5.195248714
248	5.178001341
249	5.153671567
250	5.14310547
251	5.133769525
252	5.11984356
253	5.110848058
254	5.099533685
255	5.082638387
256	5.067062075
257	5.057691998
258	5.046239557
259	5.03392919
260	5.025926716
261	5.019013028
262	5.008131227
263	4.995887978
264	4.981823736
265	4.965546046
266	4.957935132
267	4.948673304
268	4.933073711
269	4.920535205
270	4.913243291
271	4.906178657
272	4.895208747
273	4.87817249
274	4.871294608
275	4.85795528
276	4.837294869
277	4.822447376
278	4.81075094
279	4.805639243
280	4.789080665
281	4.764909968
282	4.755716835
283	4.739941545
284	4.723074578
285	4.714823316
286	4.710897169
287	4.704373561
288	4.687584768
289	4.683818754
290	4.677496386
291	4.670752273
292	4.663642758
293	4.648078155
294	4.631850994
295	4.622265536
296	4.616236152
297	4.598030542
298	4.581954698
299	4.567014002
300	4.563859412
301	4.550058432
302	4.544248594
303	4.536542057
304	4.532890043
305	4.518352218
306	4.51521678
307	4.51217361
308	4.509212332
309	4.500742176
310	4.488349659
311	4.474068052
312	4.470091554
313	4.455411283
314	4.449945757
315	4.442402892
316	4.43949227
317	4.433652777
318	4.421006113
319	4.407399932
320	4.403109938
321	4.389168665
322	4.375500197
323	4.361834805
324	4.347103316
325	4.333698426
326	4.330933078
327	4.31646193
328	4.313725344
329	4.305802987
330	4.295155129
331	4.292478753
332	4.277341633
333	4.262462352
334	4.248922942
335	4.243580768
336	4.229841481
337	4.227215298
338	4.221972226
339	4.211386352
340	4.207817554
341	4.194843401
342	4.183714649
343	4.171124565
344	4.158860693
345	4.146914872
346	4.132175807
347	4.128754919
348	4.126293199
349	4.115472604
350	4.105809028
351	4.093298386
352	4.090671793
353	4.078369002
354	4.075935218
355	4.062856637
356	4.052734517
357	4.039723986
358	4.02984918
359	4.018998934
360	4.01580032
361	4.004324427
362	3.990963034
363	3.985916155
364	3.975604546
365	3.970715792
366	3.968194065
367	3.956978385
368	3.954614617
369	3.949827419
370	3.935407723
371	3.930765427
372	3.92770905
373	3.925402485
374	3.923127555
375	3.912154495
376	3.90763898
377	3.905426302
378	3.902512586
379	3.899678977
380	3.888895054
381	3.886741038
382	3.882158342
383	3.879421854
384	3.877293619
385	3.863460218
386	3.858241943
387	3.847719826
388	3.842826434
389	3.829323335
390	3.824269202
391	3.810997055
392	3.797930866
393	3.790285511
394	3.780133278
395	3.77539481
396	3.762633748
397	3.760574124
398	3.748032446
399	3.745499801
400	3.743041159
401	3.740654158
402	3.728354432
403	3.72252499
404	3.720216138
405	3.717974528
406	3.712922238
407	3.702625301
408	3.690027452
409	3.677490493
410	3.67539501
411	3.673360143
412	3.671383963
413	3.669464607
414	3.657335207
415	3.645470244
416	3.633863284
417	3.631851519
418	3.629893178
419	3.618689086
420	3.616772202
421	3.611751774
422	3.60059839
423	3.598865806
424	3.596976445
425	3.595593523
426	3.593792136
427	3.583326561
428	3.573095469
429	3.571761141
430	3.555836746
431	3.546545222
432	3.536746292
433	3.519422568
434	3.512458863
435	3.503589449
436	3.498697655
437	3.482375776
438	3.480517241
439	3.478707879
440	3.46204004
441	3.458534249
442	3.442859549
443	3.431949242
444	3.423339202
445	3.407469456
446	3.40098034
447	3.387034635
448	3.373820976
449	3.367584694
450	3.365107506
451	3.36191162
452	3.358797352
453	3.35735718
454	3.344989104
455	3.341976454
456	3.333718202
457	3.329624901
458	3.317033187
459	3.304685017
460	3.293107085
461	3.281770341
462	3.269663599
463	3.258784009
464	3.255983574
465	3.253251044
466	3.248847992
467	3.246189596
468	3.235059178
469	3.230749223
470	3.228177849
471	3.225667321
472	3.224346435
473	3.220505245
474	3.2192107
475	3.215063102
476	3.211009098
477	3.208588008
478	3.207331192
479	3.202453855
480	3.201236334
481	3.190373143
482	3.179715437
483	3.174951877
484	3.170322425
485	3.165823375
486	3.163498042
487	3.160985792
488	3.150521293
489	3.148265868
490	3.138007948
491	3.136869837
492	3.134680533
493	3.13254084
494	3.124812917
495	3.117258665
496	3.107305488
497	3.105238255
498	3.100810902
499	3.095096766
500	3.08580724
501	3.082600558
502	3.075348188
503	3.073736083
504	3.068248599
505	3.066660468
506	3.063208585
507	3.061657994
508	3.057241934
509	3.053403681
510	3.045711683
511	3.038190988
512	3.032281593
513	3.028075046
514	3.023936728
515	3.021731599
516	3.01699008
517	3.00978327
518	3.00743294
519	3.003435031
520	3.001182612
521	2.998975277
522	2.997289984
523	2.993352319
524	2.988528501
525	2.981559255
526	2.975752853
527	2.971921426
528	2.968698984
529	2.963014252
530	2.957442274
531	2.95433227
532	2.952707214
533	2.947236897
534	2.94250991
535	2.941707694
536	2.936729102
537	2.932123958
538	2.925491542
539	2.92013481
540	2.915725359
541	2.910945637
542	2.906242831
543	2.903026265
544	2.898408132
545	2.89528158
546	2.892227585
547	2.886678999
548	2.875180145
549	2.863931952
550	2.8595109
551	2.855236647
552	2.851427569
553	2.847707392
554	2.843553634
555	2.837315315
556	2.831215407
557	2.820287171
558	2.816362238
559	2.811754737
560	2.805324765
561	2.801709215
562	2.797623606
563	2.794080993
564	2.783443858
565	2.77303781
566	2.769559256
567	2.76560528
568	2.755424886
569	2.752005812
570	2.748179959
571	2.74482745
572	2.74111733
573	2.737117884
574	2.732736775
575	2.729119012
576	2.725202963
577	2.721678505
578	2.711790774
579	2.708388259
580	2.704535035
581	2.701805052
582	2.698246093
583	2.694899648
584	2.685287127
585	2.682055721
586	2.67856476
587	2.668566647
588	2.664864071
589	2.661724959
590	2.658318177
591	2.655652413
592	2.652586556
593	2.643406341
594	2.640444469
595	2.637578942
596	2.628027919
597	2.625268023
598	2.622597136
599	2.619270224
600	2.616681687
601	2.612702178
602	2.610196111
603	2.607769571
604	2.601774001
605	2.597411293
606	2.58799486
607	2.584776191
608	2.580503931
609	2.576746709
610	2.567493506
611	2.562262375
612	2.559147899
613	2.555569229
614	2.552949589
615	2.549898246
616	2.540909583
617	2.535925959
618	2.530657038
619	2.528207223
620	2.523054904
621	2.520669358
622	2.517229089
623	2.515029034
624	2.5126815
625	2.503965335
626	2.497110665
627	2.492514145
628	2.489259916
629	2.481144708
630	2.476305947
631	2.473989842
632	2.469257343
633	2.462702761
634	2.460438555
635	2.452079717
636	2.449964352
637	2.444914715
638	2.43840084
639	2.437406914
