iter	Passed	Remaining
0	58	58404
1	59	29781
2	61	20547
3	62	15525
4	62	12499
5	62	10434
6	63	8968
7	63	7895
8	64	7062
9	64	6396
10	64	5840
11	65	5385
12	65	5008
13	67	4763
14	67	4463
15	68	4205
16	68	3970
17	68	3758
18	69	3578
19	69	3425
20	70	3274
21	70	3140
22	70	3015
23	71	2909
24	72	2811
25	72	2715
26	72	2630
27	73	2546
28	73	2471
29	74	2403
30	74	2339
31	75	2277
32	75	2218
33	76	2160
34	76	2109
35	76	2059
36	77	2013
37	77	1965
38	78	1923
39	78	1878
40	78	1840
41	79	1803
42	79	1766
43	79	1736
44	80	1706
45	80	1675
46	81	1645
47	81	1620
48	82	1594
49	82	1570
50	83	1548
51	83	1527
52	84	1505
53	84	1484
54	85	1473
55	85	1449
56	86	1431
57	86	1411
58	87	1392
59	87	1375
60	88	1356
61	88	1334
62	88	1319
63	89	1303
64	89	1289
65	90	1273
66	90	1258
67	90	1244
68	91	1229
69	91	1218
70	92	1216
71	93	1201
72	94	1197
73	94	1184
74	95	1174
75	95	1162
76	95	1150
77	97	1147
78	97	1137
79	97	1126
80	98	1115
81	99	1111
82	99	1099
83	99	1089
84	100	1079
85	100	1069
86	100	1059
87	101	1050
88	101	1040
89	102	1032
90	102	1023
91	102	1016
92	103	1008
93	103	1000
94	104	992
95	104	985
96	105	978
97	105	970
98	105	962
99	106	956
100	106	950
101	107	944
102	107	939
103	108	933
104	108	925
105	108	918
106	109	909
107	109	903
108	110	899
109	111	898
110	111	890
111	111	883
112	112	880
113	112	877
114	113	873
115	113	868
116	116	878
117	116	872
118	117	867
119	117	862
120	117	856
121	118	851
122	118	847
123	120	848
124	120	843
125	120	839
126	121	834
127	121	830
128	122	823
129	122	818
130	122	813
131	123	809
132	123	803
133	123	797
134	123	792
135	124	788
136	124	783
137	124	779
138	125	775
139	126	776
140	126	772
141	127	768
142	127	764
143	127	759
144	128	755
145	128	750
146	128	746
147	128	741
148	129	737
149	130	737
150	130	734
151	131	732
152	131	728
153	131	725
154	132	721
155	132	718
156	133	714
157	134	715
158	134	713
159	135	709
160	136	710
161	136	707
162	137	704
163	137	701
164	138	698
165	138	694
166	138	691
167	139	688
168	139	685
169	139	682
170	140	680
171	141	680
172	142	678
173	142	675
174	142	673
175	143	670
176	143	667
177	143	664
178	145	665
179	145	662
180	146	662
181	147	661
182	147	659
183	148	656
184	149	657
185	149	655
186	150	652
187	150	650
188	150	647
189	151	645
190	151	642
191	152	643
192	153	641
193	153	639
194	154	637
195	154	634
196	155	632
197	155	629
198	156	627
199	157	628
200	157	626
201	158	624
202	158	622
203	158	619
204	159	617
205	160	618
206	160	615
207	162	617
208	162	615
209	162	613
210	163	611
211	163	609
212	164	607
213	164	605
214	165	603
215	165	601
216	165	598
217	166	596
218	166	594
219	167	592
220	168	592
221	168	590
222	168	588
223	169	586
224	169	584
225	170	583
226	170	581
227	171	579
228	171	578
229	172	576
230	172	574
231	172	572
232	173	570
233	173	569
234	174	567
235	174	565
236	175	564
237	175	562
238	176	560
239	176	559
240	177	558
241	178	557
242	178	556
243	179	554
244	179	553
245	180	551
246	180	550
247	180	548
248	181	547
249	181	545
250	182	544
251	182	542
252	183	541
253	183	539
254	184	538
255	184	536
256	185	535
257	185	534
258	186	532
259	186	531
260	186	529
261	187	527
262	188	527
263	188	526
264	189	524
265	189	523
266	190	521
267	190	520
268	191	519
269	191	517
270	191	516
271	192	514
272	192	513
273	193	512
274	193	510
275	194	509
276	194	507
277	195	506
278	195	505
279	196	504
280	196	503
281	197	501
282	197	500
283	198	499
284	199	500
285	199	498
286	200	497
287	200	496
288	201	494
289	201	493
290	201	491
291	202	490
292	202	488
293	202	487
294	203	485
295	203	484
296	203	482
297	204	481
298	204	479
299	205	478
300	205	476
301	205	475
302	206	474
303	206	472
304	207	471
305	207	470
306	208	469
307	208	468
308	209	468
309	209	466
310	210	465
311	211	466
312	211	464
313	212	463
314	212	462
315	212	460
316	213	460
317	214	459
318	214	458
319	215	457
320	215	455
321	216	454
322	216	453
323	216	452
324	217	451
325	217	450
326	218	449
327	218	447
328	219	446
329	219	445
330	219	444
331	220	443
332	220	442
333	221	441
334	221	440
335	222	439
336	222	438
337	223	437
338	223	436
339	223	434
340	224	434
341	225	433
342	225	432
343	226	431
344	226	430
345	226	428
346	227	427
347	227	426
348	228	425
349	228	424
350	229	423
351	230	424
352	230	423
353	231	422
354	231	421
355	232	420
356	232	419
357	233	418
358	233	417
359	234	416
360	234	415
361	235	414
362	235	413
363	236	412
364	236	411
365	236	410
366	237	409
367	237	408
368	238	408
369	240	408
370	240	408
371	241	407
372	241	406
373	242	405
374	242	404
375	243	403
376	243	402
377	243	401
378	244	399
379	244	398
380	244	397
381	245	396
382	245	395
383	245	394
384	246	393
385	246	392
386	247	391
387	248	392
388	249	391
389	249	390
390	249	389
391	250	388
392	251	388
393	251	386
394	251	385
395	252	384
396	252	384
397	253	384
398	254	383
399	254	382
400	256	382
401	258	384
402	259	384
403	260	384
404	260	382
405	261	383
406	262	382
407	262	381
408	262	380
409	263	378
410	263	377
411	263	376
412	264	375
413	264	374
414	265	373
415	265	373
416	266	372
417	266	371
418	267	370
419	267	369
420	267	368
421	268	367
422	268	366
423	269	365
424	269	364
425	270	363
426	270	362
427	270	362
428	271	361
429	271	360
430	272	359
431	272	358
432	273	357
433	273	356
434	274	356
435	274	355
436	275	354
437	275	353
438	275	352
439	276	351
440	276	350
441	277	349
442	277	349
443	278	348
444	278	347
445	279	346
446	279	346
447	280	345
448	280	344
449	281	343
450	281	342
451	282	342
452	282	341
453	283	340
454	283	339
455	284	338
456	284	337
457	284	337
458	285	336
459	285	335
460	285	334
461	286	333
462	286	332
463	287	331
464	287	330
465	287	329
466	288	329
467	288	328
468	289	327
469	289	326
470	290	325
471	290	324
472	290	323
473	291	323
474	291	322
475	291	321
476	292	320
477	292	319
478	292	318
479	293	317
480	293	317
481	294	316
482	294	315
483	295	314
484	295	313
485	296	313
